Term,Definition
Asset,Any resource owned by an individual or business that is expected to provide future economic benefits.
Liability,A company's legal financial debts or obligations that arise during business operations.
Equity,"The value of an ownership interest in a company, represented by the difference between assets and liabilities."
Revenue,The income generated from normal business operations and includes discounts and deductions for returned merchandise.
Net Income,"A company's total earnings, calculated as revenue minus expenses, taxes, and costs of goods sold."
Dividend,"A portion of a company's earnings distributed to shareholders, usually in the form of cash or additional stock."
Market Capitalization,"The total market value of a company's outstanding shares of stock, calculated as stock price multiplied by number of shares."
Earnings Per Share (EPS),A company's profit divided by the outstanding shares of its common stock.
Price-to-Earnings Ratio (P/E Ratio),A valuation ratio of a company's current share price compared to its per-share earnings.
Bull Market,A financial market in which prices are rising or are expected to rise.
Bear Market,A financial market in which prices are falling or are expected to fall.
Volatility,A statistical measure of the dispersion of returns for a given security or market index.
Portfolio,A range of investments held by an individual or institution.
Asset Allocation,"An investment strategy that aims to balance risk and reward by apportioning a portfolio's assets according to an individual's goals, risk tolerance, and investment horizon."
Mutual Fund,"An investment vehicle made up of a pool of money collected from many investors to invest in securities such as stocks, bonds, money market instruments, and other assets."
Exchange-Traded Fund (ETF),"A type of investment fund and exchange-traded product, i.e., they are traded on stock exchanges."
Index Fund,A type of mutual fund or ETF that aims to replicate the performance of a specific index.
Bond,A fixed income instrument that represents a loan made by an investor to a borrower (typically corporate or governmental).
Yield,"The income return on an investment, such as the interest or dividends received from holding a particular security."
Capital Gain,An increase in the value of a capital asset that gives it a higher worth than the purchase price.
Risk,"The potential for losing something of value, measured by the probability of an adverse event occurring."
Return on Investment (ROI),A performance measure used to evaluate the efficiency or profitability of an investment.
Liquidity,"The availability of liquid assets to a market or company, and the ability to convert an asset to cash quickly."
Leverage,The use of various financial instruments or borrowed capital to increase the potential return of an investment.
Hedge,An investment to reduce the risk of adverse price movements in an asset.
Derivative,A security with a price that is dependent upon or derived from one or more underlying assets.
Options,"A financial derivative that gives the buyer the right, but not the obligation, to buy or sell an asset at a specified price on or before a certain date."
Futures,A financial contract obligating the buyer to purchase an asset or the seller to sell an asset at a predetermined future date and price.
Inflation,"The rate at which the general level of prices for goods and services is rising, and subsequently, the purchasing power of currency is falling."
Deflation,The reduction of the general level of prices in an economy.
Gross Domestic Product (GDP),The total value of goods produced and services provided in a country during one year.
Recession,A period of temporary economic decline during which trade and industrial activity are reduced.
Interest Rate,The amount charged by a lender to a borrower for the use of assets.
Credit Rating,An assessment of the creditworthiness of a borrower in general terms or with respect to a particular debt or financial obligation.
Bankruptcy,A legal proceeding involving a person or business that is unable to repay their outstanding debts.
Fiscal Policy,The use of government revenue collection and expenditure to influence the economy.
Monetary Policy,"The process by which a central bank, currency board, or other regulatory committee controls the money supply."
Quantitative Easing,A monetary policy whereby a central bank buys predetermined amounts of government bonds or other financial assets to inject liquidity directly into the economy.
Default,The failure to repay a debt including interest or principal on a loan or security.
Balance Sheet,"A financial statement that summarizes a company's assets, liabilities, and shareholders' equity at a specific point in time."
Income Statement,A financial statement that shows a company's financial performance over a specific accounting period.
Cash Flow Statement,A financial statement that shows the changes in the balance sheet accounts and income affects cash and cash equivalents.
Blue Chip Stock,"The stock of a large, well-established, and financially sound company that has operated for many years."
Small Cap Stock,Stocks with a relatively small market capitalization.
Large Cap Stock,Stocks with a relatively large market capitalization.
Mid Cap Stock,Stocks with a market capitalization between small cap and large cap stocks.
Growth Stock,A company stock that is expected to grow at an above-average rate compared to other companies.
Value Stock,A stock that tends to trade at a lower price relative to its fundamentals and is thus considered undervalued.
Dividend Stock,A stock that pays regular dividends.
