Term,Definition
Zero-Based Budgeting,A method of budgeting in which all expenses must be justified for each new period.
Accretion,The gradual increase in the value of a bond due to the interest earned but not yet paid.
Acquisition,When one company purchases most or all of another company's shares to gain control of that company.
Adjustable-Rate Mortgage (ARM),A mortgage with an interest rate that can change periodically based on the changes in a corresponding financial index.
Affiliated Company,A company that is related to another company by being in the position of a member or a subordinate role.
Alpha,"A measure of the active return on an investment, the performance of an investment compared to a suitable market index."
Alternative Minimum Tax (AMT),"A tax imposed to ensure that individuals and corporations that benefit from certain exclusions, deductions, or credits pay at least a minimum amount of tax."
Amalgamation,The combination of one or more companies into a new entity.
Annual Percentage Rate (APR),The annual rate charged for borrowing or earned through an investment.
Annual Report,A comprehensive report on a company's activities and financial performance throughout the preceding year.
Appreciation,An increase in the value of an asset over time.
Arbitrage Pricing Theory (APT),A multi-factor asset pricing model based on the idea that an asset's returns can be predicted using the relationship between that asset and many common risk factors.
Asset Management,"The direction of a client's cash and securities by a financial services company, usually an investment bank."
Authorized Share Capital,"The maximum number of shares that a corporation is legally permitted to issue, as specified in its articles of incorporation."
Averaging Down,The process of buying additional shares of a stock at a lower price than the original purchase price to bring down the average purchase price.
Back-End Load,"A fee that investors pay when selling mutual fund shares, usually used to discourage withdrawals."
Backwardation,A market condition where the spot price of a commodity is higher than the future price.
Balance of Trade,The difference between the monetary value of a nation's exports and imports over a certain period.
Base Currency,"The first currency listed in a forex pair, also known as the transaction currency."
Basis Point,"One hundredth of one percent, used chiefly in expressing differences in interest rates."
Bear Spread,An options strategy used when a decline in the price of the underlying asset is expected.
Beta,A measure of a stock's volatility in relation to the overall market.
Bid-Ask Spread,The amount by which the ask price exceeds the bid price for an asset in the market.
Blue Chip Stocks,"Shares in large, industry-leading companies with a history of stable growth and reliability."
Bond Yield,The amount of return an investor realizes on a bond.
Break-Even Point,The production level where total revenues equal total expenses.
Brokerage Fee,A fee charged by a broker to execute transactions or provide specialized services.
Bull Spread,An options strategy used when an increase in the price of the underlying asset is expected.
Call Option,A financial contract that gives the option buyer the right to buy an asset at a specified price within a specific time period.
Capital Gains Distribution,The payment to shareholders that results from the sale of securities in a mutual fund's portfolio.
Cash Reserve Ratio (CRR),A central bank regulation that sets the minimum fraction of customer deposits and notes that each commercial bank must hold as reserves.
Chartist,An analyst who uses charts or graphs of a security's historical prices or levels to forecast its future trends.
Chattel Mortgage,A loan arrangement in which an item of movable personal property is used as security for the loan.
Closed-End Fund,A type of investment fund that has a fixed number of shares which are not redeemable from the fund.
Commodities Exchange,An entity that provides a marketplace for the buying and selling of commodities.
Convertible Bond,A type of bond that can be converted into a predetermined amount of the underlying company's equity at certain times during the bond's life.
Credit Limit,The maximum amount of credit that a financial institution extends to a client.
Credit Union,A member-owned financial cooperative that provides traditional banking services.
Current Account,"A country's trade balance, plus net income, and direct payments between it and other countries."
Custodial Account,"An account created for the benefit of a minor, with an adult custodian managing the account until the minor reaches a certain age."
Cyclical Stock,A stock that is affected by macroeconomic or systematic changes in the overall economy.
Debenture,A type of debt instrument that is not secured by physical assets or collateral.
Deferred Income,Income that is received but not immediately earned.
Depository Receipt,A negotiable financial instrument issued by a bank to represent a foreign company's publicly traded securities.
Depression,A severe and prolonged downturn in economic activity.
Discount Rate,The interest rate charged to commercial banks and other depository institutions for loans received from the Federal Reserve's discount window.
Diversification,A risk management strategy that mixes a wide variety of investments within a portfolio.
Dividend Reinvestment Plan (DRIP),A plan offered by a corporation that allows investors to reinvest their cash dividends into additional shares of stock.
Dow Jones Industrial Average (DJIA),A stock market index that measures the stock performance of 30 large companies listed on stock exchanges in the United States.
Duration,A measure of the sensitivity of the price of a bond to a change in interest rates.
