Term,Definition
Market Liquidity,The extent to which a market allows assets to be bought and sold at stable prices.
Net Worth,The value of all the non-financial and financial assets owned by an individual or institution minus the value of all its outstanding liabilities.
Operating Margin,A measure of profitability that shows the percentage of revenue that exceeds operating costs.
Opportunity Cost,The loss of potential gain from other alternatives when one alternative is chosen.
Overhead,The ongoing administrative expenses of a business that are not directly attributable to a specific business activity.
Payback Period,The time required for the return on an investment to repay the sum of the original investment.
Perpetuity,A constant stream of identical cash flows with no end.
Preferred Dividend,A dividend that is accrued and paid on a company's preferred shares.
Pro Forma,A method of calculating financial results using certain projections or presumptions.
Prospectus,A formal legal document required by and filed with the SEC that provides details about an investment offering for sale to the public.
Proxy,The authority to act on behalf of a shareholder for the purpose of voting at a shareholder meeting.
Put-Call Parity,A principle that defines the relationship between the price of European put and call options of the same class.
Red Herring,"A preliminary prospectus filed by a company with the SEC, usually in connection with an IPO."
Retained Earnings,The portion of net income that is retained by the corporation rather than distributed to its owners as dividends.
Return on Investment (ROI),A performance measure used to evaluate the efficiency or profitability of an investment.
Risk-Free Rate,The theoretical rate of return of an investment with zero risk.
Shareholder Equity,"The owners' residual interest in the assets of a corporation, after deducting liabilities."
Short Interest,The total number of shares of a particular stock that have been sold short by investors but have not yet been covered or closed out.
Sovereign Debt,Debt issued by a national government in a foreign currency in order to finance the issuing country's growth.
Spot Market,A public financial market in which financial instruments or commodities are traded for immediate delivery.
Stock Option,"A privilege, sold by one party to another, that gives the buyer the right, but not the obligation, to buy or sell a stock at an agreed-upon price within a certain period."
Structured Product,"A pre-packaged investment strategy based on derivatives such as a single security, a basket of securities, options, indices, commodities, debt issuance, and/or foreign currencies."
Subprime Loan,A type of loan offered to individuals who do not qualify for conventional loans due to their poor credit scores.
Swap,"A derivative contract through which two parties exchange financial instruments, such as interest rates, commodities, or currencies."
Tax Lien,A legal claim by a government entity against a noncompliant taxpayer's assets.
Tender Offer,A public offer to purchase some or all of shareholders' shares in a corporation.
Ticker Symbol,An abbreviation used to uniquely identify publicly traded shares of a particular stock on a particular stock market.
Time Value of Money (TVM),The concept that money available at the present time is worth more than the same amount in the future due to its potential earning capacity.
Total Return,The actual rate of return of an investment or a pool of investments over a given evaluation period.
Trade Balance,The difference between a country's imports and its exports.
Trust Deed,A formal document which outlines the terms of a trust agreement.
Variable Cost,A cost that varies with the level of output.
Vesting,The process by which an employee accrues non-forfeitable rights over employer-provided stock incentives or employer contributions to a retirement plan.
Warrant,"A derivative that confers the right, but not the obligation, to buy or sell a security, usually equity, at a certain price before expiration."
Yield Spread,"The difference between the yields on different debt instruments, calculated by deducting the yield of one instrument from another."
Zero-Based Budgeting,A method of budgeting in which all expenses must be justified for each new period.
Accretion,The gradual increase in the value of a bond due to the interest earned but not yet paid.
Acquisition,When one company purchases most or all of another company's shares to gain control of that company.
Adjustable-Rate Mortgage (ARM),A mortgage with an interest rate that can change periodically based on the changes in a corresponding financial index.
Affiliated Company,A company that is related to another company by being in the position of a member or a subordinate role.
Alpha,"A measure of the active return on an investment, the performance of an investment compared to a suitable market index."
Alternative Minimum Tax (AMT),"A tax imposed to ensure that individuals and corporations that benefit from certain exclusions, deductions, or credits pay at least a minimum amount of tax."
Amalgamation,The combination of one or more companies into a new entity.
Annual Percentage Rate (APR),The annual rate charged for borrowing or earned through an investment.
Annual Report,A comprehensive report on a company's activities and financial performance throughout the preceding year.
Annuity,A financial product that provides regular payments over a specified period.
