Term,Definition
Securitization,The process of pooling various types of debt and selling them as bonds to investors.
Share Buyback,The repurchase of a company's own shares from the marketplace.
Short Selling,The sale of a security that the seller has borrowed with the intention of buying it back later at a lower price.
Spread,The difference between the bid and the ask price of a security or asset.
Stock Split,"An increase in the number of shares of a company's stock, without a change in shareholders' equity."
Stop-Loss Order,An order placed with a broker to buy or sell once the stock reaches a certain price.
Swing Trading,A type of trading that attempts to capture gains in a stock within an overnight hold to several weeks.
Treasury Bond (T-Bond),A long-term government debt security with a fixed interest rate and maturity of more than 10 years.
Treasury Note (T-Note),A marketable U.S. government debt security with a fixed interest rate and a maturity between one and 10 years.
Underwriting,The process by which investment bankers raise investment capital from investors on behalf of corporations and governments that are issuing securities.
Venture Capital,Financing provided to startups and small businesses with high growth potential.
Volatility Index (VIX),A measure of the stock market's expectation of volatility based on S&P 500 index options.
Volume,The number of shares or contracts traded in a security or an entire market during a given period.
Yield Curve,A line that plots the interest rates of bonds having equal credit quality but differing maturity dates.
Zero-Coupon Bond,"A bond that does not pay interest but is traded at a deep discount, rendering profit at maturity when the bond is redeemed for its full face value."
Amortization,The gradual reduction of a debt over a given period.
Annuity,A financial product that provides regular payments over a specified period.
Balance of Payments,A statement that summarizes an economy’s transactions with the rest of the world for a specified time period.
Bank Run,A situation that occurs when a large number of bank customers withdraw their deposits because they believe the bank might become insolvent.
Bearish,An expectation that prices will decline in the future.
Book Value per Share,A measure of a company's net asset value on a per-share basis.
Broker,An individual or firm that acts as an intermediary between an investor and a securities exchange.
Bullish,An expectation that prices will rise in the future.
Buy and Hold,A long-term investment strategy where an investor buys stocks and holds them for a long period regardless of fluctuations in the market.
Capital Expenditure (CapEx),"Funds used by a company to acquire, upgrade, and maintain physical assets such as property, industrial buildings, or equipment."
Capital Gains Tax,A tax on the profit realized from the sale of a non-inventory asset.
Carry Trade,A strategy in which an investor borrows money at a low-interest rate to invest in an asset that is expected to provide a higher return.
Certificate of Deposit (CD),A savings certificate with a fixed maturity date and specified fixed interest rate.
Commodity,A basic good used in commerce that is interchangeable with other commodities of the same type.
Compound Interest,"Interest calculated on the initial principal, which also includes all of the accumulated interest from previous periods."
Corporate Bond,A debt security issued by a corporation and sold to investors.
Cost of Goods Sold (COGS),The direct costs attributable to the production of the goods sold by a company.
Credit Line,An arrangement between a financial institution and a customer that establishes a maximum loan balance that the lender permits the borrower to access.
Current Assets,Cash and other assets that are expected to be converted to cash within a year.
Current Liabilities,A company's debts or obligations that are due within one year.
Debt Financing,"When a firm raises money for working capital or capital expenditures by selling bonds, bills, or notes to individual and/or institutional investors."
Depreciation,"The reduction in the value of an asset over time, due to wear and tear."
Dilution,A reduction in the ownership percentage of a share of stock caused by the issuance of new shares.
Discount Bond,"A bond that is issued for less than its par (or face) value, or a bond currently trading for less than its par value in the secondary market."
Dividends Per Share (DPS),The sum of declared dividends issued by a company for every ordinary share outstanding.
Earnings Before Interest and Taxes (EBIT),A measure of a firm's profit that includes all expenses except interest and income tax expenses.
Earnings Yield,The earnings per share for the most recent 12-month period divided by the current market price per share.
Equity Financing,The process of raising capital through the sale of shares in an enterprise.
Face Value,The nominal value or dollar value of a security stated by the issuer.
Fundamental Analysis,"A method of measuring a security's intrinsic value by examining related economic, financial, and other qualitative and quantitative factors."
GAAP (Generally Accepted Accounting Principles),A collection of commonly-followed accounting rules and standards for financial reporting.
Insider Information,Non-public facts about a company known by its employees and other individuals with a duty of confidentiality.
