Term,Definition
Initial Public Offering (IPO),The process through which a private company becomes publicly traded by offering its shares to the public for the first time.
Secondary Market,"The market where investors purchase securities or assets from other investors, rather than from issuing companies directly."
Primary Market,The market where securities are created and sold for the first time.
Arbitrage,The simultaneous purchase and sale of an asset to profit from a difference in the price.
Asset-Backed Security,"A financial security backed by a loan, lease, or receivables against assets other than real estate."
Beta,A measure of a stock's volatility in relation to the overall market.
Book Value,"The net value of a company's assets found on its balance sheet, and is roughly equal to the total amount all shareholders would get if they liquidated the company."
Call Option,A financial contract that gives the option buyer the right to buy an asset at a specified price within a specific time period.
Cash Flow,"The net amount of cash being transferred into and out of a business, especially as affecting liquidity."
Collateral,An asset that a borrower offers to a lender to secure a loan.
Coupon Rate,"The yield paid by a fixed-income security, which is the annual coupon payments divided by the bond's face or par value."
Credit Default Swap,A financial derivative or contract that allows an investor to 'swap' or offset their credit risk with that of another investor.
Current Ratio,A liquidity ratio that measures a company's ability to pay short-term obligations or those due within one year.
Debt-to-Equity Ratio,A financial ratio indicating the relative proportion of shareholders' equity and debt used to finance a company's assets.
Debenture,A type of debt instrument that is not secured by physical assets or collateral.
Dividend Yield,A financial ratio that shows how much a company pays out in dividends each year relative to its share price.
EBITDA,"Earnings before interest, taxes, depreciation, and amortization; a measure of a company's overall financial performance."
Enterprise Value (EV),"A measure of a company's total value, often used as a more comprehensive alternative to equity market capitalization."
Exchange Rate,The value of one currency for the purpose of conversion to another.
Expense Ratio,A measure of what it costs an investment company to operate a mutual fund.
Free Cash Flow (FCF),The cash a company generates after accounting for cash outflows to support operations and maintain its capital assets.
Hedge Fund,"An alternative investment vehicle that uses pooled funds and employs numerous different strategies to earn active return, or alpha, for its investors."
Index,A statistical measure of the changes in a portfolio of stocks representing a portion of the overall market.
Interest Coverage Ratio,A debt ratio and profitability ratio used to determine how easily a company can pay interest on its outstanding debt.
Leveraged Buyout (LBO),The acquisition of another company using a significant amount of borrowed money to meet the cost of acquisition.
Market Order,An order to buy or sell a stock at the current market price.
Municipal Bond,"A bond issued by a local government or territory, or one of their agencies."
Par Value,The face value of a bond.
Preferred Stock,A class of ownership in a corporation that has a higher claim on its assets and earnings than common stock.
Price-to-Book Ratio (P/B Ratio),A ratio used to compare a stock's market value to its book value.
Put Option,A financial contract that gives the option buyer the right to sell an asset at a specified price within a specific time period.
Return on Equity (ROE),A measure of financial performance calculated by dividing net income by shareholders' equity.
Securities and Exchange Commission (SEC),A U.S. government agency responsible for enforcing the laws concerning the trading of securities.
Securitization,The process of pooling various types of debt and selling them as bonds to investors.
Short Selling,The sale of a security that the seller has borrowed with the intention of buying it back later at a lower price.
Spread,The difference between the bid and the ask price of a security or asset.
Treasury Bond (T-Bond),A long-term government debt security with a fixed interest rate and maturity of more than 10 years.
Venture Capital,Financing provided to startups and small businesses with high growth potential.
Volume,The number of shares or contracts traded in a security or an entire market during a given period.
Yield Curve,A line that plots the interest rates of bonds having equal credit quality but differing maturity dates.
Zero-Coupon Bond,"A bond that does not pay interest but is traded at a deep discount, rendering profit at maturity when the bond is redeemed for its full face value."
Asset Turnover,A financial ratio that measures the efficiency of a company's use of its assets to generate sales revenue.
Capital Structure,"The mix of different forms of capital used to finance a company, including equity, debt, and hybrid securities."
Commercial Paper,An unsecured promissory note with a fixed maturity of rarely more than 270 days.
Cost of Capital,"The required return necessary to make a capital budgeting project, such as building a new factory, worthwhile."
Covenant,A clause in a loan agreement that requires the borrower to do or refrain from doing certain things.
