Term,Definition
No-Load Fund,A mutual fund in which shares are sold without a commission or sales charge.
Option Premium,The income received by an investor who sells or 'writes' an option contract to another party.
Over-The-Counter (OTC),"The trading of securities, currencies, or other financial instruments directly between two parties without a central exchange or broker."
Par Value,The face value of a bond or the stock value stated in the corporate charter.
Penny Stock,A small company's stock that typically trades for less than $5 per share.
Preferred Stock,A class of ownership in a corporation that has a higher claim on its assets and earnings than common stock.
Price-to-Book Ratio (P/B Ratio),A ratio used to compare a stock's market value to its book value.
Put Option,A financial contract that gives the option buyer the right to sell an asset at a specified price within a specific time period.
Real Estate Investment Trust (REIT),"A company that owns, operates, or finances income-producing real estate."
Return on Assets (ROA),An indicator of how profitable a company is relative to its total assets.
Return on Equity (ROE),A measure of financial performance calculated by dividing net income by shareholders' equity.
Risk-Adjusted Return,A measure that adjusts returns for the amount of risk involved.
Securities and Exchange Commission (SEC),A U.S. government agency responsible for enforcing the laws concerning the trading of securities.
Securitization,The process of pooling various types of debt and selling them as bonds to investors.
Share Buyback,The repurchase of a company's own shares from the marketplace.
Short Selling,The sale of a security that the seller has borrowed with the intention of buying it back later at a lower price.
Spread,The difference between the bid and the ask price of a security or asset.
Stock Split,"An increase in the number of shares of a company's stock, without a change in shareholders' equity."
Stop-Loss Order,An order placed with a broker to buy or sell once the stock reaches a certain price.
Swing Trading,A type of trading that attempts to capture gains in a stock within an overnight hold to several weeks.
Treasury Bond (T-Bond),A long-term government debt security with a fixed interest rate and maturity of more than 10 years.
Treasury Note (T-Note),A marketable U.S. government debt security with a fixed interest rate and a maturity between one and 10 years.
Underwriting,The process by which investment bankers raise investment capital from investors on behalf of corporations and governments that are issuing securities.
Venture Capital,Financing provided to startups and small businesses with high growth potential.
Volatility Index (VIX),A measure of the stock market's expectation of volatility based on S&P 500 index options.
Volume,The number of shares or contracts traded in a security or an entire market during a given period.
Yield Curve,A line that plots the interest rates of bonds having equal credit quality but differing maturity dates.
Zero-Coupon Bond,"A bond that does not pay interest but is traded at a deep discount, rendering profit at maturity when the bond is redeemed for its full face value."
Amortization,The gradual reduction of a debt over a given period.
Annuity,A financial product that provides regular payments over a specified period.
Balance of Payments,A statement that summarizes an economy’s transactions with the rest of the world for a specified time period.
Bank Run,A situation that occurs when a large number of bank customers withdraw their deposits because they believe the bank might become insolvent.
Bearish,An expectation that prices will decline in the future.
Book Value per Share,A measure of a company's net asset value on a per-share basis.
Broker,An individual or firm that acts as an intermediary between an investor and a securities exchange.
Bullish,An expectation that prices will rise in the future.
Buy and Hold,A long-term investment strategy where an investor buys stocks and holds them for a long period regardless of fluctuations in the market.
Capital Expenditure (CapEx),"Funds used by a company to acquire, upgrade, and maintain physical assets such as property, industrial buildings, or equipment."
Capital Gains Tax,A tax on the profit realized from the sale of a non-inventory asset.
Carry Trade,A strategy in which an investor borrows money at a low-interest rate to invest in an asset that is expected to provide a higher return.
Certificate of Deposit (CD),A savings certificate with a fixed maturity date and specified fixed interest rate.
Commodity,A basic good used in commerce that is interchangeable with other commodities of the same type.
Compound Interest,"Interest calculated on the initial principal, which also includes all of the accumulated interest from previous periods."
Corporate Bond,A debt security issued by a corporation and sold to investors.
